"2026-03-11 18:24:35",andrea,Andy,18-24,"tops | leggings | conjuntos","elasticidad | cintura",,"Sports Bra",videos/combo4.mp4
"2026-03-11 18:25:42",dsdsd,Dsdsd,25-30,"leggings | chaquetas",elasticidad,,"Prenda Gris",videos/combo3.mp4
